pt-pt,fi-fi,"""Weird Al"" Yankovic","""Weird Al"" Yankovic"
pt-pt,fi-fi,"'Allo 'Allo!","Maanalainen armeija iskee jälleen"
pt-pt,fi-fi,"'N Sync","'N Sync"
pt-pt,fi-fi,"...And Justice for All","...And Justice for All"
pt-pt,fi-fi,"...And the Circus Leaves Town","...And the Circus Leaves Town"
pt-pt,fi-fi,"...Baby One More Time","...Baby One More Time"
pt-pt,fi-fi,"...In Translation","Lost in Translation"
pt-pt,fi-fi,"1 Ceres",Ceres
pt-pt,fi-fi,"1 E1 K",Suuruusluokka
pt-pt,fi-fi,"1 E2 K",Suuruusluokka
pt-pt,fi-fi,"1 E3 K",Suuruusluokka
pt-pt,fi-fi,"1 a.C.","1 eaa."
pt-pt,fi-fi,"1 de Abril","1. huhtikuuta"
pt-pt,fi-fi,"1 de Agosto","1. elokuuta"
pt-pt,fi-fi,"1 de Dezembro","1. joulukuuta"
pt-pt,fi-fi,"1 de Fevereiro","1. helmikuuta"
pt-pt,fi-fi,"1 de Janeiro","1. tammikuuta"
pt-pt,fi-fi,"1 de Julho","1. heinäkuuta"
pt-pt,fi-fi,"1 de Junho","1. kesäkuuta"
pt-pt,fi-fi,"1 de Maio","1. toukokuuta"
pt-pt,fi-fi,"1 de Março","1. maaliskuuta"
pt-pt,fi-fi,"1 de Novembro","1. marraskuuta"
pt-pt,fi-fi,"1 de Outubro","1. lokakuuta"
pt-pt,fi-fi,"1 de Setembro","1. syyskuuta"
pt-pt,fi-fi,"1. Bundesliga alemã 1963/1964","Saksan Bundesliiga"
pt-pt,fi-fi,"1. Bundesliga alemã 2005/2006","Saksan Bundesliiga"
pt-pt,fi-fi,"1. Bundesliga alemã 2006/2007","Saksan Bundesliiga"
pt-pt,fi-fi,"1. FC Kaiserslautern","1. FC Kaiserslautern"
pt-pt,fi-fi,"1. FC Nürnberg","1. FC Nürnberg"
pt-pt,fi-fi,"1.FC Brno",Brno
pt-pt,fi-fi,"10 Hígia","10 Hygiea"
pt-pt,fi-fi,"10 a.C.","10 eaa."
pt-pt,fi-fi,"10 de Abril","10. huhtikuuta"
pt-pt,fi-fi,"10 de Agosto","10. elokuuta"
pt-pt,fi-fi,"10 de Dezembro","10. joulukuuta"
pt-pt,fi-fi,"10 de Fevereiro","10. helmikuuta"
pt-pt,fi-fi,"10 de Janeiro","10. tammikuuta"
pt-pt,fi-fi,"10 de Julho","10. heinäkuuta"
pt-pt,fi-fi,"10 de Junho","10. kesäkuuta"
pt-pt,fi-fi,"10 de Maio","10. toukokuuta"
pt-pt,fi-fi,"10 de Março","10. maaliskuuta"
pt-pt,fi-fi,"10 de Novembro","10. marraskuuta"
pt-pt,fi-fi,"10 de Outubro","10. lokakuuta"
pt-pt,fi-fi,"10 de Setembro","10. syyskuuta"
pt-pt,fi-fi,"100 a.C.","100 eaa."
pt-pt,fi-fi,"100 metros com barreiras","100 metrin aitajuoksu"
pt-pt,fi-fi,"100 metros rasos","100 metrin juoksu"
pt-pt,fi-fi,"1000 a.C.","1000 eaa."
pt-pt,fi-fi,"10000 Days","10,000 Days"
pt-pt,fi-fi,"10000 metros rasos","10 000 metrin juoksu"
pt-pt,fi-fi,"10001 Palermo",Palermo
pt-pt,fi-fi,"10050 Rayman",Rayman
pt-pt,fi-fi,"1008 La Paz","La Paz"
pt-pt,fi-fi,"101 Dalmatians II: Patch's London Adventure","101 dalmatialaista 2: Pikku Kikero Lontoossa"
pt-pt,fi-fi,"101 Dalmatians","101 dalmatialaista"
pt-pt,fi-fi,"101 a.C.","101 eaa."
pt-pt,fi-fi,"10101 Fourier",Fourier
pt-pt,fi-fi,"102 Dalmatians","102 dalmatialaista"
pt-pt,fi-fi,"102 a.C.","102 eaa."
pt-pt,fi-fi,"1020 Arcadia",Arkadia
pt-pt,fi-fi,"10239 Hermann",Herman
pt-pt,fi-fi,"1026 Ingrid",Inkeri
pt-pt,fi-fi,"103 a.C.","103 eaa."
pt-pt,fi-fi,"104 a.C.","104 eaa."
pt-pt,fi-fi,"1047 Geisha",Geisha
pt-pt,fi-fi,"105 a.C.","105 eaa."
pt-pt,fi-fi,"1051 Merope",Merope
pt-pt,fi-fi,"106 a.C.","106 eaa."
pt-pt,fi-fi,"1060 Magnolia",Magnolia
pt-pt,fi-fi,"1068 Nofretete",Nefertiti
pt-pt,fi-fi,"107 a.C.","107 eaa."
pt-pt,fi-fi,"1076 Viola",Viola
pt-pt,fi-fi,"108 a.C.","108 eaa."
pt-pt,fi-fi,"1085 Amaryllis",Amaryllis
pt-pt,fi-fi,"1088 Mitaka",Mitaka
pt-pt,fi-fi,"1089 Tama",Tama
pt-pt,fi-fi,"109 a.C.","109 eaa."
pt-pt,fi-fi,"11 a.C.","11 eaa."
pt-pt,fi-fi,"11 de Abril","11. huhtikuuta"
pt-pt,fi-fi,"11 de Agosto","11. elokuuta"
pt-pt,fi-fi,"11 de Dezembro","11. joulukuuta"
pt-pt,fi-fi,"11 de Fevereiro","11. helmikuuta"
pt-pt,fi-fi,"11 de Janeiro","11. tammikuuta"
pt-pt,fi-fi,"11 de Julho","11. heinäkuuta"
pt-pt,fi-fi,"11 de Junho","11. kesäkuuta"
pt-pt,fi-fi,"11 de Maio","11. toukokuuta"
pt-pt,fi-fi,"11 de Março","11. maaliskuuta"
pt-pt,fi-fi,"11 de Novembro","11. marraskuuta"
pt-pt,fi-fi,"11 de Outubro","11. lokakuuta"
pt-pt,fi-fi,"11 de Setembro","11. syyskuuta"
pt-pt,fi-fi,"11'09""01 - September 11","11. syyskuuta"
pt-pt,fi-fi,"110 Lydia",Lyydia
pt-pt,fi-fi,"110 a.C.","110 eaa."
pt-pt,fi-fi,"110 metros com barreiras","110 metrin aitajuoksu"
pt-pt,fi-fi,"110393 Rammstein","110393 Rammstein"
pt-pt,fi-fi,"1108 Demeter",Demeter
pt-pt,fi-fi,"111 Ate",Ate
pt-pt,fi-fi,"111 a.C.","111 eaa."
pt-pt,fi-fi,"1112 Polonia",Puola
pt-pt,fi-fi,"1114 Lorraine",Lothringen
pt-pt,fi-fi,"112 a.C.","112 eaa."
pt-pt,fi-fi,"1122 Neith",Neith
pt-pt,fi-fi,"1125 China",Kiina
pt-pt,fi-fi,"113 a.C.","113 eaa."
pt-pt,fi-fi,"11335 Santiago",Santiago
pt-pt,fi-fi,"113390 Helvetia",Helvetia
