mk-mk,sr-rs,"1 август","1. август"
mk-mk,sr-rs,"1 април","1. април"
mk-mk,sr-rs,"1 век","1. век"
mk-mk,sr-rs,"1 декември","1. децембар"
mk-mk,sr-rs,"1 март","1. март"
mk-mk,sr-rs,"1 мај","1. мај"
mk-mk,sr-rs,"1 ноември","1. новембар"
mk-mk,sr-rs,"1 октомври","1. октобар"
mk-mk,sr-rs,"1 септември","1. септембар"
mk-mk,sr-rs,"1 февруари","1. фебруар"
mk-mk,sr-rs,"1 јануари","1. јануар"
mk-mk,sr-rs,"1 јули","1. јул"
mk-mk,sr-rs,"1 јуни","1. јун"
mk-mk,sr-rs,"10 август","10. август"
mk-mk,sr-rs,"10 април","10. април"
mk-mk,sr-rs,"10 век","10. век"
mk-mk,sr-rs,"10 декември","10. децембар"
mk-mk,sr-rs,"10 март","10. март"
mk-mk,sr-rs,"10 мај","10. мај"
mk-mk,sr-rs,"10 ноември","10. новембар"
mk-mk,sr-rs,"10 октомври","10. октобар"
mk-mk,sr-rs,"10 септември","10. септембар"
mk-mk,sr-rs,"10 февруари","10. фебруар"
mk-mk,sr-rs,"10 јануари","10. јануар"
mk-mk,sr-rs,"10 јули","10. јул"
mk-mk,sr-rs,"10 јуни","10. јун"
mk-mk,sr-rs,"11 август","11. август"
mk-mk,sr-rs,"11 април","11. април"
mk-mk,sr-rs,"11 век","11. век"
mk-mk,sr-rs,"11 декември","11. децембар"
mk-mk,sr-rs,"11 март","11. март"
mk-mk,sr-rs,"11 мај","11. мај"
mk-mk,sr-rs,"11 ноември","11. новембар"
mk-mk,sr-rs,"11 октомври","11. октобар"
mk-mk,sr-rs,"11 септември","11. септембар"
mk-mk,sr-rs,"11 февруари","11. фебруар"
mk-mk,sr-rs,"11 јануари","11. јануар"
mk-mk,sr-rs,"11 јули","11. јул"
mk-mk,sr-rs,"11 јуни","11. јун"
mk-mk,sr-rs,"12 август","12. август"
mk-mk,sr-rs,"12 април","12. април"
mk-mk,sr-rs,"12 век","12. век"
mk-mk,sr-rs,"12 декември","12. децембар"
mk-mk,sr-rs,"12 март","12. март"
mk-mk,sr-rs,"12 мај","12. мај"
mk-mk,sr-rs,"12 ноември","12. новембар"
mk-mk,sr-rs,"12 октомври","12. октобар"
mk-mk,sr-rs,"12 септември","12. септембар"
mk-mk,sr-rs,"12 февруари","12. фебруар"
mk-mk,sr-rs,"12 јануари","12. јануар"
mk-mk,sr-rs,"12 јули","12. јул"
mk-mk,sr-rs,"12 јуни","12. јун"
mk-mk,sr-rs,"13 август","13. август"
mk-mk,sr-rs,"13 април","13. април"
mk-mk,sr-rs,"13 век","13. век"
mk-mk,sr-rs,"13 декември","13. децембар"
mk-mk,sr-rs,"13 март","13. март"
mk-mk,sr-rs,"13 мај","13. мај"
mk-mk,sr-rs,"13 ноември","13. новембар"
mk-mk,sr-rs,"13 октомври","13. октобар"
mk-mk,sr-rs,"13 септември","13. септембар"
mk-mk,sr-rs,"13 февруари","13. фебруар"
mk-mk,sr-rs,"13 јануари","13. јануар"
mk-mk,sr-rs,"13 јули","13. јул"
mk-mk,sr-rs,"13 јуни","13. јун"
mk-mk,sr-rs,"14 август","14. август"
mk-mk,sr-rs,"14 април","14. април"
mk-mk,sr-rs,"14 век","14. век"
mk-mk,sr-rs,"14 декември","14. децембар"
mk-mk,sr-rs,"14 март","14. март"
mk-mk,sr-rs,"14 мај","14. мај"
mk-mk,sr-rs,"14 ноември","14. новембар"
mk-mk,sr-rs,"14 октомври","14. октобар"
mk-mk,sr-rs,"14 септември","14. септембар"
mk-mk,sr-rs,"14 февруари","14. фебруар"
